|season_id|season_day|date|team_dom|team_ext|score_dom|score_ext|bonus_dom|bonus_ext
0|2004-2005|1|Mercredi 18 Août|Perpignan|Bourgoin|29|23||
1|2004-2005|1|Mercredi 18 Août|Auch|Narbonne|24|25||
2|2004-2005|1|Mercredi 18 Août|Pau|Toulouse|28|16||
3|2004-2005|1|Mercredi 18 Août|Grenoble|Brive|23|28||
4|2004-2005|1|Mercredi 18 Août|Agen|Castres|16|16||
5|2004-2005|1|Mercredi 18 Août|Montpellier|Clermont|27|12||
6|2004-2005|1|Mercredi 18 Août|Béziers|Biarritz|22|26||
7|2004-2005|1|Mercredi 18 Août|Bayonne|Paris|10|34||
0|2004-2005|2|Lundi 23 Août|Castres|Bayonne|32|26||
1|2004-2005|2|Lundi 23 Août|Bourgoin|Montpellier|32|7||
2|2004-2005|2|Lundi 23 Août|Biarritz|Auch|34|3||
3|2004-2005|2|Lundi 23 Août|Clermont|Grenoble|17|26||
4|2004-2005|2|Lundi 23 Août|Brive|Béziers|28|16||
5|2004-2005|2|Lundi 23 Août|Narbonne|Agen|12|15||
6|2004-2005|2|Lundi 23 Août|Paris|Pau|33|17||
7|2004-2005|2|Lundi 23 Août|Toulouse|Perpignan|24|21||
0|2004-2005|3|Dimanche 29 Août|Grenoble|Castres|28|28||
1|2004-2005|3|Dimanche 29 Août|Pau|Biarritz|10|34||
2|2004-2005|3|Dimanche 29 Août|Auch|Bourgoin|15|19||
3|2004-2005|3|Dimanche 29 Août|Montpellier|Paris|49|25||
4|2004-2005|3|Dimanche 29 Août|Bayonne|Clermont|27|19||
5|2004-2005|3|Dimanche 29 Août|Béziers|Toulouse|28|22||
6|2004-2005|3|Dimanche 29 Août|Agen|Brive|31|26||
7|2004-2005|3|Dimanche 29 Août|Narbonne|Perpignan|15|35||
0|2004-2005|4|Vendredi 03 Septembre|Castres|Béziers|16|12||
1|2004-2005|4|Samedi 04 Septembre|Paris|Agen|20|25||
2|2004-2005|4|Samedi 04 Septembre|Clermont|Pau|28|9||
3|2004-2005|4|Samedi 04 Septembre|Toulouse|Bayonne|46|27||
4|2004-2005|4|Samedi 04 Septembre|Biarritz|Grenoble|46|7||
5|2004-2005|4|Samedi 04 Septembre|Bourgoin|Narbonne|57|5||
6|2004-2005|4|Samedi 04 Septembre|Perpignan|Auch|36|17||
7|2004-2005|4|Samedi 04 Septembre|Brive|Montpellier|28|9||
0|2004-2005|5|Vendredi 10 Septembre|Perpignan|Clermont|43|10||
1|2004-2005|5|Samedi 11 Septembre|Agen|Biarritz|22|12||
2|2004-2005|5|Samedi 11 Septembre|Montpellier|Toulouse|22|23||
3|2004-2005|5|Samedi 11 Septembre|Auch|Castres|13|22||
4|2004-2005|5|Samedi 11 Septembre|Pau|Brive|16|14||
5|2004-2005|5|Samedi 11 Septembre|Béziers|Paris|12|41||
6|2004-2005|5|Samedi 11 Septembre|Bayonne|Bourgoin|16|41||
7|2004-2005|5|Samedi 11 Septembre|Narbonne|Grenoble|16|16||
0|2004-2005|6|Vendredi 17 Septembre|Brive|Narbonne|28|9||
1|2004-2005|6|Samedi 18 Septembre|Castres|Perpignan|39|25||
2|2004-2005|6|Samedi 18 Septembre|Biarritz|Bayonne|22|27||
3|2004-2005|6|Samedi 18 Septembre|Paris|Bourgoin|31|23||
4|2004-2005|6|Samedi 18 Septembre|Clermont|Auch|34|6||
5|2004-2005|6|Samedi 18 Septembre|Grenoble|Toulouse|13|22||
6|2004-2005|6|Samedi 18 Septembre|Montpellier|Pau|33|12||
7|2004-2005|6|Samedi 18 Septembre|Béziers|Agen|6|16||
0|2004-2005|7|Vendredi 24 Septembre|Perpignan|Paris|20|15||
1|2004-2005|7|Samedi 25 Septembre|Toulouse|Biarritz|26|25||
2|2004-2005|7|Samedi 25 Septembre|Bourgoin|Castres|19|12||
3|2004-2005|7|Samedi 25 Septembre|Auch|Brive|26|29||
4|2004-2005|7|Samedi 25 Septembre|Pau|Béziers|33|15||
5|2004-2005|7|Samedi 25 Septembre|Narbonne|Clermont|16|15||
6|2004-2005|7|Samedi 25 Septembre|Bayonne|Agen|8|18||
7|2004-2005|7|Samedi 25 Septembre|Grenoble|Montpellier|37|24||
0|2004-2005|8|Vendredi 01 Octobre|Agen|Perpignan|9|13||
1|2004-2005|8|Samedi 02 Octobre|Paris|Biarritz|31|21||
2|2004-2005|8|Samedi 02 Octobre|Brive|Toulouse|16|27||
3|2004-2005|8|Samedi 02 Octobre|Castres|Narbonne|30|31||
4|2004-2005|8|Samedi 02 Octobre|Clermont|Bourgoin|28|28||
5|2004-2005|8|Samedi 02 Octobre|Bayonne|Pau|20|20||
6|2004-2005|8|Samedi 02 Octobre|Béziers|Grenoble|26|19||
7|2004-2005|8|Samedi 02 Octobre|Montpellier|Auch|23|17||
0|2004-2005|9|Vendredi 08 Octobre|Paris|Clermont|28|19||
1|2004-2005|9|Samedi 09 Octobre|Toulouse|Bourgoin|39|5||
2|2004-2005|9|Samedi 09 Octobre|Brive|Castres|19|12||
3|2004-2005|9|Samedi 09 Octobre|Auch|Agen|33|26||
4|2004-2005|9|Samedi 09 Octobre|Biarritz|Narbonne|39|14||
5|2004-2005|9|Samedi 09 Octobre|Perpignan|Montpellier|24|17||
6|2004-2005|9|Samedi 09 Octobre|Grenoble|Pau|31|24||
7|2004-2005|9|Samedi 09 Octobre|Béziers|Bayonne|35|15||
0|2004-2005|10|Vendredi 15 Octobre|Biarritz|Brive|36|17||
1|2004-2005|10|Samedi 16 Octobre|Castres|Paris|7|7||
